Ticker,Expiration Date,Strike Price,Last Price,Bid,Ask,Volume,Open Interest,Current Price,Predicted_Premium,Error,Calibrated_Predicted_Premium
MSFT,2025-03-07,410.0,6.48,6.4,6.5,40.0,896,412.6900024414063,6.633148,0.15314819335937457,6.605492
MSFT,2025-03-07,405.0,4.85,4.7,4.85,22.0,598,412.6900024414063,4.9286823,0.07868232727050817,4.9010262
MSFT,2025-03-07,400.0,3.37,3.4,3.5,63.0,1741,412.6900024414063,3.561469,0.19146907806396474,3.5338132
MSFT,2025-03-07,395.0,2.61,2.51,2.58,76.0,891,412.6900024414063,4.7938437,2.183843746185303,4.7661877
MSFT,2025-03-07,390.0,1.86,1.83,1.89,33.0,739,412.6900024414063,1.9298286,0.06982864379882803,1.9021728
MSFT,2025-03-07,385.0,1.35,1.37,1.41,28.0,2196,412.6900024414063,1.4199594,0.06995942592620841,1.3923036
MSFT,2025-03-07,380.0,1.04,1.03,1.07,23.0,975,412.6900024414063,1.0655069,0.02550693511962887,1.0378511
MSFT,2025-03-07,375.0,0.83,0.81,0.84,17.0,359,412.6900024414063,0.8643846,0.034384591579437296,0.8367287
MSFT,2025-03-07,370.0,0.64,0.63,0.66,14.0,694,412.6900024414063,0.6505455,0.010545477867126452,0.6228896
MSFT,2025-03-07,365.0,0.5,0.5,0.53,5.0,126,412.6900024414063,0.50465465,0.004654645919799805,0.47699878
AAPL,2025-03-07,225.0,3.35,3.35,3.45,211.0,2960,228.5249938964844,3.5425224,0.1925224304199218,3.5148666
AAPL,2025-03-07,220.0,2.11,2.06,2.1,1183.0,2020,228.5249938964844,2.177103,0.06710304260253919,2.1494472
AAPL,2025-03-07,215.0,1.28,1.25,1.27,743.0,868,228.5249938964844,1.3502829,0.07028290748596189,1.3226271
AAPL,2025-03-07,210.0,0.79,0.76,0.79,215.0,1408,228.5249938964844,0.8282186,0.03821857929229733,0.8005627
AAPL,2025-03-07,205.0,0.5,0.49,0.5,262.0,661,228.5249938964844,0.5781718,0.07817178964614868,0.5505159
AAPL,2025-03-07,200.0,0.35,0.33,0.35,92.0,473,228.5249938964844,0.3051359,-0.044864094257354714,0.27748004
AAPL,2025-03-07,195.0,0.24,0.24,0.26,3.0,192,228.5249938964844,0.25268024,0.012680242061614999,0.22502436
AAPL,2025-03-07,190.0,0.22,0.19,0.2,9.0,624,228.5249938964844,0.23109064,0.011090635061264037,0.20343475
AAPL,2025-03-07,185.0,0.16,0.16,0.17,241.0,81,228.5249938964844,0.19917254,0.039172541499137875,0.17151666
AAPL,2025-03-07,180.0,0.13,0.13,0.14,13.0,337,228.5249938964844,0.18928714,0.059287140965461727,0.16163126
GOOGL,2025-03-07,185.0,3.67,3.65,3.7,44.0,1277,186.31500244140625,3.6250992,-0.04490081787109368,3.5974433
GOOGL,2025-03-07,180.0,2.03,2.02,2.07,173.0,1391,186.31500244140625,2.0377944,0.0077943515777589845,2.0101385
GOOGL,2025-03-07,175.0,1.08,1.06,1.1,77.0,4494,186.31500244140625,1.0812217,0.0012216997146605735,1.0535659
GOOGL,2025-03-07,170.0,0.57,0.57,0.6,85.0,475,186.31500244140625,0.5425481,-0.027451879978179883,0.5148922
GOOGL,2025-03-07,165.0,0.34,0.33,0.36,50.0,362,186.31500244140625,0.38893765,0.04893765211105344,0.36128178
GOOGL,2025-03-07,160.0,0.21,0.2,0.22,17.0,290,186.31500244140625,0.15822896,-0.05177103638648986,0.13057308
