Ticker,Expiration Date,Strike Price,Last Price,Bid,Ask,Volume,Open Interest,Current Price
MSFT,2025-03-07,410.0,6.48,6.4,6.5,40.0,896,412.69000244140625
MSFT,2025-03-07,405.0,4.85,4.7,4.85,22.0,598,412.69000244140625
MSFT,2025-03-07,400.0,3.37,3.4,3.5,63.0,1741,412.69000244140625
MSFT,2025-03-07,395.0,2.61,2.51,2.58,76.0,891,412.69000244140625
MSFT,2025-03-07,390.0,1.86,1.83,1.89,33.0,739,412.69000244140625
MSFT,2025-03-07,385.0,1.35,1.37,1.41,28.0,2196,412.69000244140625
MSFT,2025-03-07,380.0,1.04,1.03,1.07,23.0,975,412.69000244140625
MSFT,2025-03-07,375.0,0.83,0.81,0.84,17.0,359,412.69000244140625
MSFT,2025-03-07,370.0,0.64,0.63,0.66,14.0,694,412.69000244140625
MSFT,2025-03-07,365.0,0.5,0.5,0.53,5.0,126,412.69000244140625
AAPL,2025-03-07,225.0,3.35,3.35,3.45,211.0,2960,228.52499389648438
AAPL,2025-03-07,220.0,2.11,2.06,2.1,1183.0,2020,228.52499389648438
AAPL,2025-03-07,215.0,1.28,1.25,1.27,743.0,868,228.52499389648438
AAPL,2025-03-07,210.0,0.79,0.76,0.79,215.0,1408,228.52499389648438
AAPL,2025-03-07,205.0,0.5,0.49,0.5,262.0,661,228.52499389648438
AAPL,2025-03-07,200.0,0.35,0.33,0.35,92.0,473,228.52499389648438
AAPL,2025-03-07,195.0,0.24,0.24,0.26,3.0,192,228.52499389648438
AAPL,2025-03-07,190.0,0.22,0.19,0.2,9.0,624,228.52499389648438
AAPL,2025-03-07,185.0,0.16,0.16,0.17,241.0,81,228.52499389648438
AAPL,2025-03-07,180.0,0.13,0.13,0.14,13.0,337,228.52499389648438
GOOGL,2025-03-07,185.0,3.67,3.65,3.7,44.0,1277,186.31500244140625
GOOGL,2025-03-07,180.0,2.03,2.02,2.07,173.0,1391,186.31500244140625
GOOGL,2025-03-07,175.0,1.08,1.06,1.1,77.0,4494,186.31500244140625
GOOGL,2025-03-07,170.0,0.57,0.57,0.6,85.0,475,186.31500244140625
